dimension,segment,contacts,conversions,conversion_rate_pct
job,blue-collar,9253,638.0,6.9
job,management,2924,328.0,11.22
job,technician,6739,730.0,10.83
job,retired,1718,434.0,25.26
job,unemployed,1014,144.0,14.2
job,self-employed,1421,149.0,10.49
job,housemaid,1060,106.0,10.0
job,admin.,10419,1351.0,12.97
job,services,3967,323.0,8.14
job,unknown,330,37.0,11.21
job,entrepreneur,1456,124.0,8.52
job,student,875,275.0,31.43
age_band,<25,1067,256.0,23.99
age_band,25-34,13684,1666.0,12.17
age_band,35-44,13495,1168.0,8.66
age_band,45-54,8702,752.0,8.64
age_band,55-64,3566,484.0,13.57
age_band,65+,662,313.0,47.28
previous_outcome,nonexistent,35551,3140.0,8.83
previous_outcome,success,1373,894.0,65.11
previous_outcome,failure,4252,605.0,14.23
